id,name,2014,2015a,2015,2016,2017,2018
1302-3,3 ΑΝΑΠΤΥΞΙΑΚΕΣ ΔΑΠΑΝΕΣ -  DEVELOPMENT EXPENDITURE,1520226.0,2550020.0,318230.0,4955020.0,1390020.0,390020.0
1303,AΣTYNOMIA -  POLICE,1.95821858E8,2.16713582E8,1.99132296E8,2.20895102E8,2.21062861E8,2.22247798E8
1303-2,2 ΤΑΚΤΙΚΕΣ ΔΑΠΑΝΕΣ -  CURRENT EXPENDITURE,1.92804536E8,2.04697484E8,1.92106159E8,2.09879065E8,2.08821138E8,2.13375728E8
1303-3,3 ΑΝΑΠΤΥΞΙΑΚΕΣ ΔΑΠΑΝΕΣ -  DEVELOPMENT EXPENDITURE,3017322.0,1.2016098E7,7026137.0,1.1016037E7,1.2241723E7,8872070.0
1304,ΠYPOΣBEΣTIKH YΠHPEΣIA -  FIRE SERVICE,2.8406582E7,3.0183602E7,2.895348E7,3.3085749E7,3.6181102E7,3.5767989E7
1304-2,2 ΤΑΚΤΙΚΕΣ ΔΑΠΑΝΕΣ -  CURRENT EXPENDITURE,2.8152485E7,2.9842602E7,2.7415547E7,3.0845699E7,3.2561062E7,3.4897939E7
1304-3,3 ΑΝΑΠΤΥΞΙΑΚΕΣ ΔΑΠΑΝΕΣ -  DEVELOPMENT EXPENDITURE,254097.0,341000.0,1537933.0,2240050.0,3620040.0,870050.0
14,"YΠOYPΓEIO ΕΝΕΡΓΕΙΑΣ, EMΠOPIOY, BIOMHXANIAΣ  KAI TOYPIΣMOY - MINISTRY OF ENERGY, COMMERCE, INDUSTRY  AND TOURISM",3.2970236E7,4.5423682E7,3.5462396E7,4.1959188E7,3.6445038E7,3.60099E7
1401,"YΠOYPΓEIO ΕΝΕΡΓΕΙΑΣ, EMΠOPIOY, BIOMHXANIAΣ  KAI TOYPIΣMOY, ΔΙΟΙΚΗΣΗ - MINISTRY OF ENERGY, COMMERCE, INDUSTRY  AND TOURISM, ADMINISTRATION",2.6763431E7,3.823334E7,2.9122654E7,3.4466397E7,2.9077941E7,2.8495819E7
1401-2,2 ΤΑΚΤΙΚΕΣ ΔΑΠΑΝΕΣ -  CURRENT EXPENDITURE,1.4527727E7,1.6123963E7,1.455462E7,2.3698421E7,1.8162941E7,1.8430819E7
1401-3,3 ΑΝΑΠΤΥΞΙΑΚΕΣ ΔΑΠΑΝΕΣ -  DEVELOPMENT EXPENDITURE,1.2235704E7,2.2109377E7,1.4568034E7,1.0767976E7,1.0915E7,1.0065E7
1402,ΕΜΠΟΡΙΚΑ ΚΕΝΤΡΑ ΣΤΟ ΕΞΩΤΕΡΙΚΟ -  TRADE CENTERS ABROAD,1488477.0,1838606.0,1231141.0,1849584.0,1867765.0,1870600.0
1402-2,2 ΤΑΚΤΙΚΕΣ ΔΑΠΑΝΕΣ -  CURRENT EXPENDITURE,1488477.0,1838606.0,1231141.0,1849584.0,1867765.0,1870600.0
1404,TMHMA EΦOPOY ETAIPEIΩN KAI EΠIΣHMOY  ΠAPAΛHΠTH - DEPARTMENT OF REGISTRAR OF COMPANIES  AND OFFICIAL RECEIVER,4718327.0,5351736.0,5108601.0,5643207.0,5499332.0,5643481.0
1404-2,2 ΤΑΚΤΙΚΕΣ ΔΑΠΑΝΕΣ -  CURRENT EXPENDITURE,4697880.0,5332686.0,5108601.0,5643147.0,5499272.0,5643421.0
1404-3,3 ΑΝΑΠΤΥΞΙΑΚΕΣ ΔΑΠΑΝΕΣ -  DEVELOPMENT EXPENDITURE,20448.0,19050.0,0.0,60.0,60.0,60.0
15,"YΠOYPΓEIO EPΓAΣIAΣ, ΠΡΟΝΟΙΑΣ KAI KOINΩNIKΩN  AΣΦAΛIΣEΩN - MINISTRY OF LABOUR, WELFARE AND SOCIAL  INSURANCE",8.85048514E8,9.16144338E8,9.02678984E8,9.13989797E8,9.08824976E8,9.09147646E8
1501,"YΠOYPΓEIO EPΓAΣIAΣ, ΠΡΟΝΟΙΑΣ KAI KOINΩNIKΩN  AΣΦAΛIΣEΩN, ΔΙΟΙΚΗΣΗ - MINISTRY OF LABOUR, WELFARE AND SOCIAL  INSURANCE, ADMINISTRATION",4.69201176E8,4.33079078E8,4.16272045E8,4.32277941E8,4.09490623E8,4.08981224E8
1501-1,1 ΠΑΓΙΟ ΤΑΜΕΙΟ -  CONSOLIDATED FUND,145339.0,148000.0,147626.0,175000.0,175000.0,175000.0
1501-2,2 ΤΑΚΤΙΚΕΣ ΔΑΠΑΝΕΣ -  CURRENT EXPENDITURE,4.60217011E8,4.2895584E8,4.10685531E8,4.29204735E8,4.07733523E8,4.07224624E8
1501-3,3 ΑΝΑΠΤΥΞΙΑΚΕΣ ΔΑΠΑΝΕΣ -  DEVELOPMENT EXPENDITURE,8838826.0,3975238.0,5438888.0,2898206.0,1582100.0,1581600.0
1502,TMHMA EPΓAΣIAΣ -  LABOUR DEPARTMENT,7347190.0,6333891.0,1.0966517E7,5576508.0,5671790.0,5800420.0
1502-2,2 ΤΑΚΤΙΚΕΣ ΔΑΠΑΝΕΣ -  CURRENT EXPENDITURE,4621716.0,5345131.0,5114976.0,5439482.0,5619570.0,5748200.0
1502-3,3 ΑΝΑΠΤΥΞΙΑΚΕΣ ΔΑΠΑΝΕΣ -  DEVELOPMENT EXPENDITURE,2725474.0,988760.0,5851541.0,137026.0,52220.0,52220.0
1503,YΠHPEΣIEΣ KOINΩNIKΩN AΣΦAΛIΣEΩN -  SOCIAL INSURANCE SERVICES,3.30054358E8,3.84214214E8,3.93578401E8,3.91172405E8,4.09710164E8,4.09936925E8
1503-2,2 ΤΑΚΤΙΚΕΣ ΔΑΠΑΝΕΣ -  CURRENT EXPENDITURE,3.30054358E8,3.84209404E8,3.93578401E8,3.91167928E8,4.09705354E8,4.09932115E8
1503-3,3 ΑΝΑΠΤΥΞΙΑΚΕΣ ΔΑΠΑΝΕΣ -  DEVELOPMENT EXPENDITURE,0.0,4810.0,0.0,4477.0,4810.0,4810.0
1504,YΠHPEΣIEΣ KOINΩNIKHΣ EYHMEPIAΣ -  SOCIAL WELFARE SERVICES,3.5095581E7,4.253493E7,3.5737338E7,4.132203E7,4.1907862E7,4.2144759E7
